route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Zottegem -- Grammont,,700,,,
10,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
100,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
101,NMBS/SNCB,IC,Deinze -- Poperinge,,103,,,
102,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
103,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
104,NMBS/SNCB,IC,Deinze -- Courtrai,,103,,,
105,NMBS/SNCB,IC,Audenarde -- Courtrai,,103,,,
106,NMBS/SNCB,IC,Deinze -- La Panne,,103,,,
107,NMBS/SNCB,IC,Ostende -- Audenarde,,103,,,
108,NMBS/SNCB,IC,Ostende -- Courtrai,,103,,,
109,NMBS/SNCB,IC,Anvers-Central -- Herentals,,103,,,
11,NMBS/SNCB,BUS,Lichtervelde -- Roulers,,700,,,
110,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
111,NMBS/SNCB,EXTRA,Hasselt -- Landen,,103,,,
112,NMBS/SNCB,L,Anvers-Central -- Puurs,,100,,,
113,NMBS/SNCB,L,Puurs -- Hoboken-Polder,,100,,,
114,NMBS/SNCB,IC,Anvers-Central -- Lierre,,103,,,
115,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
116,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
117,NMBS/SNCB,IC,Mol -- Hamont,,103,,,
118,NMBS/SNCB,IC,Mol -- Neerpelt,,103,,,
119,NMBS/SNCB,L,Anvers-Central -- Heist-Op-Den-Berg,,100,,,
12,NMBS/SNCB,BUS,Lille Flandres(f) -- Courtrai,,700,,,
120,NMBS/SNCB,L,Schaerbeek -- Louvain,,100,,,
121,NMBS/SNCB,IC,Tongres -- Liege-Guillemins,,103,,,
122,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
123,NMBS/SNCB,L,Bruxelles-Midi -- Nivelles,,100,,,
124,NMBS/SNCB,L,Bruxelles-Midi -- Anvers-Central,,100,,,
125,NMBS/SNCB,IC,Bruxelles-Nord -- Brussels Airport - Zaventem,,103,,,
126,NMBS/SNCB,IC,Anvers-Central -- Malines,,103,,,
127,NMBS/SNCB,IC,Schaerbeek -- Anvers-Central,,103,,,
128,NMBS/SNCB,IC,Brussels Airport - Zaventem -- Louvain,,103,,,
129,NMBS/SNCB,IC,Brussels Airport - Zaventem -- Landen,,103,,,
13,NMBS/SNCB,BUS,Mouscron -- Courtrai,,700,,,
130,NMBS/SNCB,IC,Jette -- Termonde,,103,,,
131,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
132,NMBS/SNCB,IC,Liege-Saint-Lambert -- Huy,,103,,,
133,NMBS/SNCB,L,Ottignies -- Wavre,,100,,,
134,NMBS/SNCB,IC,Liege-Guillemins -- Rivage,,103,,,
135,NMBS/SNCB,L,Mons -- Quevy,,100,,,
136,NMBS/SNCB,IC,Charleroi-Sud -- Mons,,103,,,
