route_id,agency_id,"route_short_name","route_long_name","route_desc",route_type,"route_url","route_color","route_text_color"
68027,1,"36","Sint-Anna - Linkeroever","Hof Ter Schelde - Sint-Anna/Sint-Anna - Hof Ter Schelde",3,"","EE8822","FFFFFF"
68413,1,"90","Berchem Station - Mortsel - Lier","Lier - Mortsel - Berchem Station/Berchem Station - Mortsel -  Lier",3,"","BB0022","FFFFFF"
68420,1,"140","Hoboken Polderstad - UZA - Mortsel - Wijnegem","Hoboken Polderstad  - UZA - Mortsel - Wijnegem/Wijnegem - Mortsel - UZA - Hoboken Polderstad",3,"","BBDD00","000000"
68421,1,"141","Hoboken - Wilrijk - UZA - Mortsel - Wijnegem","Hoboken Polderstad - Wilrijk -  UZA - Mortsel - Wijnegem/Wijnegem - Mortsel - UZA - Wilrijk -  Hoboken Polderstad",3,"","C5AA77","000000"
68430,1,"180","Groenplaats - Aartselaar","Aartselaar - Groenplaats/Groenplaats - Aartselaar",3,"","FFCC11","000000"
68431,1,"181","Groenplaats - Aartselaar - Rumst","Rumst - Aartselaar - Groenplaats/Groenplaats - Aartselaar - Rumst",3,"","FFCC11","000000"
68432,1,"182","Groenplaats - Aartselaar - Boom","Boom - Aartselaar - Groenplaats/Groenplaats - Aartselaar - Boom",3,"","FFCC11","000000"
68433,1,"183","Groenplaats - Aartselaar - Niel","Niel - Aartselaar - Groenplaats/Groenplaats - Aartselaar - Niel",3,"","FFCC11","000000"
68434,1,"191","Snelbus Rumst - Kontich - Antwerpen","Snelbus Rumst - Kontich - Antwerpen/Snelbus Antwerpen - Kontich - Rumst",3,"","DD0077","FFFFFF"
68435,1,"200","Turnhout - Tielen - Kasterlee","Kasterlee - Tielen - Vosselaar - Turnhout/Turnhout - Vosselaar - Tielen - Kasterlee",3,"","EE8822","FFFFFF"
68455,1,"297","Heist-op-den-berg - Lier Zevenbergen","Heist-op-den-Berg - Lier Zevenbergen/Lier Zevenbergen - Heist-op-den-Berg",3,"","1199DD","FFFFFF"
68457,1,"305","Turnhout - Herentals - Herselt - Leuven","Leuven - Aarschot - Herentals - Turnhout/Turnhout - Herentals - Aarschot - Leuven",3,"","991199","FFFFFF"
68458,1,"380","Geel - Dessel - Retie - Arendonk/Oud-Turnhout","Oud-Turnhout/Arendonk - Retie - Geel/Geel - Retie - Arendonk/Oud-Turnhout",3,"","0099AA","000000"
68459,1,"381","Geel - Dessel - Witgoor - Retie - Arendonk","Arendonk - Geel/Geel - Arendonk",3,"","8899AA","000000"
68460,1,"390","Arendonk - Retie - Dessel - Mol","Arendonk - Mol/Mol - Arendonk",3,"","BBDD00","000000"
68461,1,"391","Arendonk - Retie - Witgoor - Dessel - Mol","Arendonk - Mol/Mol - Arendonk",3,"","771133","FFFFFF"
68462,1,"400","Hoogstraten - Rijkevorsel - Vlimmeren","Hoogstraten - Vlimmeren/Vlimmeren - Hoogstraten",3,"","FFCC11","000000"
68463,1,"401","Hoogstraten - Rijkevorsel - Oostmalle","Hoogstraten - Oostmalle/Oostmalle - Hoogstraten",3,"","EE8822","FFFFFF"
68464,1,"404","Wijnegem - Zandhoven VTI via Halle","Wijnegem - Halle - Zandhoven VTI/Zandhoven VTI  - Halle - Wijnegem",3,"","991199","FFFFFF"
68465,1,"405","Hoogstraten - Malle","Hoogstraten - scholen Malle/scholen Malle - Hoogstraten",3,"","1199DD","FFFFFF"
68466,1,"406","Zandhoven - scholen Malle via Halle","scholen Malle - Zandhoven via Halle/Zandhoven - scholen Malle via Halle",3,"","BB0022","FFFFFF"
68467,1,"407","Herentals - Malle","scholen Malle - Herentals/Herentals - scholen Malle",3,"","AACCEE","000000"
68468,1,"408","Hoogstraten - Rijkevorsel - Malle - Zandhoven","Hoogstraten - Malle - Zandhoven/Zandhoven - Malle - Hoogstraten",3,"","FF88AA","000000"
68469,1,"409","Hoogstraten - Malle - Vorselaar - Herentals","Hoogstraten - Malle -  Herentals/Zandhoven/Herentals/Zandhoven - Malle - Hoogstraten",3,"","995511","FFFFFF"
68470,1,"410","Antwerpen - Turnhout","Turnhout - Beerse - Malle - Wijnegem - Antwerpen/Antwerpen - Wijnegem - Malle - Beerse - Turnhout",3,"","229922","FFFFFF"
68471,1,"411","Zandhoven-Zoersel-Malle","scholen Malle - Zoersel - Zandhoven/Zandhoven - Zoersel - scholen Malle",3,"","77CCAA","000000"
68472,1,"412","Zandhoven - Sint-Job-in-'t-Goor","Sint-Job-in-'t-Goor - Westmalle - Zandhoven/Zandhoven - Westmalle - Sint-Job-in-'t-Goor",3,"","AACCEE","000000"
68473,1,"414","Sint-Antonius - Zandhoven VTI","Sint-Antonius - Malle -Zandhoven VTI/Zandhoven VTI - Malle - Sint-Antonius",3,"","0044BB","FFFFFF"
68474,1,"415","Sneldienst Antwerpen-Turnhout via Beerse","Snelbus Turnhout - Beerse - Antwerpen/Snelbus Antwerpen - Beerse - Turnhout",3,"","991199","FFFFFF"
68475,1,"416","Sneldienst Antwerpen-Turnhout via Wechelderzande","Snelbus Turnhout - Wechelderzande - Antwerpen/Snelbus Antwerpen - Wechelderzande - Turnhout",3,"","0044BB","FFFFFF"
68476,1,"417","Sneldienst Antwerpen-Turnhout via Zoersel","Snelbus Turnhout - Zoersel - Antwerpen/Snelbus Antwerpen - Zoersel - Turnhout",3,"","BB0022","FFFFFF"
68477,1,"418","Sneldienst Antwerpen-Herentals via Lille","Snelbus Herentals - Poederlee - Lille - Antwerpen/Snelbus Antwerpen - Lille - Poederlee - Herentals",3,"","771133","FFFFFF"
68478,1,"419","Zandhoven - St Antonius - Malle - Turnhout","Turnhout - Zandhoven/Zandhoven - Turnhout",3,"","0099AA","000000"
68482,1,"424","Schilde - Broechem - Zandhoven VTI","Schilde - Zandhoven VTI/Zandhoven VTI - Schilde",3,"","BBDD00","000000"
68483,1,"427","Antwerpen - Massenhoven - Herentals via E313","Snelbus Herentals - Massenhoven - Antwerpen/Snelbus Antwerpen - Massenhoven - Herentals",3,"","8899AA","000000"
68485,1,"429","Sneldienst Antwerpen-Herentals via Zoersel","Snelbus Herentals - Lille - Malle - Zoersel - Antwerpen/Snelbus Antwerpen -Zoersel - Malle - Lille - Herentals",3,"","DD0077","FFFFFF"
68486,1,"430","Meersel Dreef - Hoogstraten - Turnhout - Reusel","Meerseldreef - Hoogstraten -Turnhout - Reusel/Reusel - Turnhout - Hoogstraten - Meerseldreef",3,"","005555","FFFFFF"
68487,1,"431","Turnhout - Vosselaar - Beerse - Rijkevorsel","Rijkevorsel - Beerse - Vosselaar Dorp - Turnhout/Turnhout - Vosselaar Dorp - Beerse - Rijkevorsel",3,"","8899AA","000000"
68488,1,"432","Brecht-Rijkevorsel-Merksplas-Turnhout-Arendonk","Brecht - Rijkevorsel - Merksplas - Turnhout - Arendonk/Arendonk - Turnhout - Merksplas - Rijkevorsel - Brecht",3,"","771133","FFFFFF"
