route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Termonde,,700,,,
10,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Schellebelle,,700,,,
100,NMBS/SNCB,BUS,Virton -- Athus,,700,,,
101,NMBS/SNCB,BUS,Bertrix -- Virton,,700,,,
102,NMBS/SNCB,BUS,Liege-Guillemins -- Waremme,,700,,,
103,NMBS/SNCB,BUS,Ottignies -- Sint-Joris-Weert,,700,,,
104,NMBS/SNCB,BUS,Rivage -- Marloie,,700,,,
105,NMBS/SNCB,BUS,Rivage -- Rochefort-Jemelle,,700,,,
106,NMBS/SNCB,BUS,Arlon -- Athus,,700,,,
107,NMBS/SNCB,BUS,Ottignies -- Namur,,700,,,
108,NMBS/SNCB,BUS,Ottignies -- Ciney,,700,,,
109,NMBS/SNCB,BUS,Libramont -- Arlon,,700,,,
11,NMBS/SNCB,BUS,Hal -- Ath,,700,,,
110,NMBS/SNCB,BUS,Liege-Guillemins -- Welkenraedt,,700,,,
111,NMBS/SNCB,BUS,Liege-Guillemins -- Rivage,,700,,,
112,NMBS/SNCB,BUS,Ottignies -- Louvain-La-Neuve,,700,,,
113,NMBS/SNCB,BUS,Verviers-Central -- Spa-Geronstere,,700,,,
114,NMBS/SNCB,BUS,Mons -- Quevy,,700,,,
115,NMBS/SNCB,BUS,Mons -- La Louviere-Sud,,700,,,
116,NMBS/SNCB,BUS,Mons -- Soignies,,700,,,
117,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
118,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
119,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
12,NMBS/SNCB,BUS,Bruges -- Gand-Saint-Pierre,,700,,,
120,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
121,NMBS/SNCB,BUS,Nivelles -- Luttre,,700,,,
122,NMBS/SNCB,BUS,Erquelinnes -- Charleroi-Central,,700,,,
123,NMBS/SNCB,BUS,Charleroi-Central -- Manage,,700,,,
124,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
125,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
126,NMBS/SNCB,BUS,Mons -- Jurbise,,700,,,
127,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
128,NMBS/SNCB,BUS,Bruxelles-Midi -- Nivelles,,700,,,
129,NMBS/SNCB,BUS,Charleroi-Central -- Tamines,,700,,,
13,NMBS/SNCB,BUS,Audenarde -- Renaix,,700,,,
130,NMBS/SNCB,BUS,Chatelet -- Tamines,,700,,,
131,NMBS/SNCB,BUS,Braine-Le-Comte -- Soignies,,700,,,
132,NMBS/SNCB,BUS,Maubeuge (f) -- Charleroi-Central,,700,,,
133,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
134,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
135,NMBS/SNCB,BUS,Nivelles -- Charleroi-Central,,700,,,
136,NMBS/SNCB,BUS,Bruxelles-Midi -- Braine-L Alleud,,700,,,
137,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
138,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
139,NMBS/SNCB,BUS,Hasselt -- Genk,,700,,,
14,NMBS/SNCB,BUS,Deinze -- Lichtervelde,,700,,,
140,NMBS/SNCB,BUS,Anvers-Central -- Herentals,,700,,,
141,NMBS/SNCB,BUS,Lierre -- Herentals,,700,,,
142,NMBS/SNCB,BUS,Anvers-Central -- Essen,,700,,,
143,NMBS/SNCB,BUS,Anvers-Central -- Gand-Saint-Pierre,,700,,,
144,NMBS/SNCB,BUS,Anvers-Berchem -- Gand-Saint-Pierre,,700,,,
145,NMBS/SNCB,BUS,Lierre -- Hamont,,700,,,
146,NMBS/SNCB,BUS,Neerpelt -- Hamont,,700,,,
147,NMBS/SNCB,BUS,Anvers-Berchem -- Hoboken-Polder,,700,,,
148,NMBS/SNCB,BUS,Anvers-Central -- Hoboken-Polder,,700,,,
149,NMBS/SNCB,BUS,Rochefort-Jemelle -- Libramont,,700,,,
15,NMBS/SNCB,BUS,Zottegem -- Grammont,,700,,,
150,NMBS/SNCB,IC,Charleroi-Central -- Braine-Le-Comte,,103,,,
151,NMBS/SNCB,BUS,Lille Flandres(f) -- Mouscron,,700,,,
152,NMBS/SNCB,IC,Anvers-Central -- Gand-Saint-Pierre,,103,,,
153,NMBS/SNCB,BUS,Ettelbruck (l) -- Gouvy,,700,,,
154,NMBS/SNCB,P,Louvain -- Gand-Saint-Pierre,,103,,,
155,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
156,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
157,NMBS/SNCB,L,Audenarde -- Renaix,,100,,,
158,NMBS/SNCB,IC,Zottegem -- Courtrai,,103,,,
159,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
16,NMBS/SNCB,BUS,Courtrai -- Poperinge,,700,,,
160,NMBS/SNCB,IC,Gand-Saint-Pierre -- Saint-Nicolas,,103,,,
161,NMBS/SNCB,IC,Ostende -- Zottegem,,103,,,
162,NMBS/SNCB,IC,Deinze -- Poperinge,,103,,,
163,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
164,NMBS/SNCB,IC,Ostende -- Courtrai,,103,,,
165,NMBS/SNCB,IC,Deinze -- Courtrai,,103,,,
166,NMBS/SNCB,IC,Bruges -- Audenarde,,103,,,
167,NMBS/SNCB,L,Gand-Saint-Pierre -- Courtrai,,100,,,
168,NMBS/SNCB,IC,Deinze -- La Panne,,103,,,
169,NMBS/SNCB,IC,Gand-Saint-Pierre -- Poperinge,,103,,,
17,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Grammont,,700,,,
170,NMBS/SNCB,IC,Gand-Saint-Pierre -- Courtrai,,103,,,
171,NMBS/SNCB,IC,Anvers-Central -- Courtrai,,103,,,
172,NMBS/SNCB,IC,Anvers-Central -- Lokeren,,103,,,
173,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
174,NMBS/SNCB,EXTRA,Hasselt -- Landen,,103,,,
175,NMBS/SNCB,L,Anvers-Noorderdokken -- Puurs,,100,,,
176,NMBS/SNCB,L,Puurs -- Hoboken-Polder,,100,,,
177,NMBS/SNCB,IC,Anvers-Central -- Aarschot,,103,,,
178,NMBS/SNCB,L,Hasselt -- Zolder,,100,,,
179,NMBS/SNCB,IC,Mol -- Neerpelt,,103,,,
18,NMBS/SNCB,BUS,Zottegem -- Courtrai,,700,,,
180,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
181,NMBS/SNCB,IC,Saint-Trond -- Louvain,,103,,,
182,NMBS/SNCB,IC,Mol -- Hamont,,103,,,
183,NMBS/SNCB,L,Bruxelles-Nord -- Louvain,,100,,,
184,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
185,NMBS/SNCB,L,Essen -- Heide,,100,,,
186,NMBS/SNCB,L,Anvers-Central -- Puurs,,100,,,
187,NMBS/SNCB,IC,Anvers-Central -- Herentals,,103,,,
188,NMBS/SNCB,IC,Anvers-Central -- Lierre,,103,,,
189,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
